Exchange,Token,LotSize,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
BFO,876397,1500,WIPROPT,WIPRO24JUN480CE,27-JUN-2024,OPTSTK,CE,480,0.05,
BFO,871360,1500,WIPROPT,WIPRO24JUN475CE,27-JUN-2024,OPTSTK,CE,475,0.05,
BFO,871134,1500,WIPROPT,WIPRO24JUN470CE,27-JUN-2024,OPTSTK,CE,470,0.05,
BFO,872917,1500,WIPROPT,WIPRO24JUN465CE,27-JUN-2024,OPTSTK,CE,465,0.05,
BFO,872729,1500,WIPROPT,WIPRO24JUN460CE,27-JUN-2024,OPTSTK,CE,460,0.05,
BFO,874549,1500,WIPROPT,WIPRO24JUN455CE,27-JUN-2024,OPTSTK,CE,455,0.05,
BFO,874351,1500,WIPROPT,WIPRO24JUN450CE,27-JUN-2024,OPTSTK,CE,450,0.05,
BFO,876149,1500,WIPROPT,WIPRO24JUN445CE,27-JUN-2024,OPTSTK,CE,445,0.05,
BFO,2206923,1500,WIPROPT,WIPRO24JUN440CE,27-JUN-2024,OPTSTK,CE,440,0.05,
BFO,881184,1500,WIPROPT,WIPRO24JUN435CE,27-JUN-2024,OPTSTK,CE,435,0.05,
BFO,2098126,1500,WIPROPT,WIPRO24JUN430CE,27-JUN-2024,OPTSTK,CE,430,0.05,
BFO,881389,1500,WIPROPT,WIPRO24JUN425CE,27-JUN-2024,OPTSTK,CE,425,0.05,
BFO,2213727,1500,WIPROPT,WIPRO24JUN420CE,27-JUN-2024,OPTSTK,CE,420,0.05,
BFO,881610,1500,WIPROPT,WIPRO24JUN415CE,27-JUN-2024,OPTSTK,CE,415,0.05,
BFO,2203389,1500,WIPROPT,WIPRO24JUN410CE,27-JUN-2024,OPTSTK,CE,410,0.05,
BFO,2023464,1500,WIPROPT,WIPRO24JUN405CE,27-JUN-2024,OPTSTK,CE,405,0.05,
BFO,2094184,1500,WIPROPT,WIPRO24JUN400CE,27-JUN-2024,OPTSTK,CE,400,0.05,
BFO,2004193,1500,WIPROPT,WIPRO24JUL530PE,25-JUL-2024,OPTSTK,PE,530,0.05,
BFO,2285999,1500,WIPROPT,WIPRO24JUL525PE,25-JUL-2024,OPTSTK,PE,525,0.05,
BFO,2026441,1500,WIPROPT,WIPRO24JUL520PE,25-JUL-2024,OPTSTK,PE,520,0.05,
BFO,2299860,1500,WIPROPT,WIPRO24JUL515PE,25-JUL-2024,OPTSTK,PE,515,0.05,
BFO,2013387,1500,WIPROPT,WIPRO24JUL510PE,25-JUL-2024,OPTSTK,PE,510,0.05,
BFO,2291262,1500,WIPROPT,WIPRO24JUL505PE,25-JUL-2024,OPTSTK,PE,505,0.05,
BFO,2032679,1500,WIPROPT,WIPRO24JUL500PE,25-JUL-2024,OPTSTK,PE,500,0.05,
BFO,888923,1500,WIPROPT,WIPRO24JUL495PE,25-JUL-2024,OPTSTK,PE,495,0.05,
BFO,888729,1500,WIPROPT,WIPRO24JUL490PE,25-JUL-2024,OPTSTK,PE,490,0.05,
BFO,1101232,1500,WIPROPT,WIPRO24JUL485PE,25-JUL-2024,OPTSTK,PE,485,0.05,
BFO,1100939,1500,WIPROPT,WIPRO24JUL480PE,25-JUL-2024,OPTSTK,PE,480,0.05,
BFO,1104202,1500,WIPROPT,WIPRO24JUL475PE,25-JUL-2024,OPTSTK,PE,475,0.05,
BFO,1103481,1500,WIPROPT,WIPRO24JUL470PE,25-JUL-2024,OPTSTK,PE,470,0.05,
BFO,885617,1500,WIPROPT,WIPRO24JUL465PE,25-JUL-2024,OPTSTK,PE,465,0.05,
BFO,885283,1500,WIPROPT,WIPRO24JUL460PE,25-JUL-2024,OPTSTK,PE,460,0.05,
BFO,888466,1500,WIPROPT,WIPRO24JUL455PE,25-JUL-2024,OPTSTK,PE,455,0.05,
BFO,888252,1500,WIPROPT,WIPRO24JUL450PE,25-JUL-2024,OPTSTK,PE,450,0.05,
BFO,1100552,1500,WIPROPT,WIPRO24JUL445PE,25-JUL-2024,OPTSTK,PE,445,0.05,
BFO,1100307,1500,WIPROPT,WIPRO24JUL440PE,25-JUL-2024,OPTSTK,PE,440,0.05,
BFO,1103139,1500,WIPROPT,WIPRO24JUL435PE,25-JUL-2024,OPTSTK,PE,435,0.05,
BFO,1102794,1500,WIPROPT,WIPRO24JUL430PE,25-JUL-2024,OPTSTK,PE,430,0.05,
BFO,884557,1500,WIPROPT,WIPRO24JUL425PE,25-JUL-2024,OPTSTK,PE,425,0.05,
BFO,2029337,1500,WIPROPT,WIPRO24JUL420PE,25-JUL-2024,OPTSTK,PE,420,0.05,
BFO,1117937,1500,WIPROPT,WIPRO24JUL415PE,25-JUL-2024,OPTSTK,PE,415,0.05,
BFO,2017485,1500,WIPROPT,WIPRO24JUL410PE,25-JUL-2024,OPTSTK,PE,410,0.05,
